"verbo","papel"
"ab-rogar","Agent"
"abafar","Agent"
"abaixar","Agent"
"abalançar","Agent"
"abalar","Agent"
"abalroar","Agent"
"abanar","Agent"
"abandonar","Agent"
"abarbar","Agent"
"abarcar","Agent"
"abarrotar","Agent"
"abastar","Agent"
"abastardar","Agent"
"abastecer","Agent"
"abater","Agent"
"abemolar","Agent"
"abençoar","Agent"
"abichar","Agent"
"abiscoitar","Agent"
"abjurar","Agent"
"abluir","Agent"
"abocanhar","Agent"
"abocar","Agent"
"abolir","Agent"
"abonar","Agent"
"abortar","Agent"
"abotoar","Agent"
"abraçar","Agent"
"abrandar","Agent"
"abranger","Agent"
"abrasar","Agent"
"abreviar","Agent"
"abrigar","Agent"
"abrir","Agent"
"abrolhar","Agent"
"absolver","Agent"
"absorver","Agent"
"abusar","Agent"
"acabar","Agent"
"academiar","Agent"
"academicizar","Agent"
"açaimar","Agent"
"acalentar","Agent"
"acalmar","Agent"
"acalorar","Agent"
"acamar","Agent"
"acanhar","Agent"
"acarar","Agent"
"acarear","Agent"
"acariciar","Agent"
"acarinhar","Agent"
"acasalar","Agent"
"acautelar","Agent"
"acavalar","Agent"
"aceder","Agent"
"aceitar","Agent"
"acelerar","Agent"
"acenar","Agent"
"acender","Agent"
"acentuar","Agent"
"acetificar","Agent"
"achanar","Agent"
"achar","Agent"
"achatar","Agent"
"acidificar","Agent"
"aclamar","Agent"
"aclarar","Agent"
"acobertar","Agent"
"acochar","Agent"
"acocorar","Agent"
"acoimar","Agent"
"acoitar","Agent"
"acolchetar","Agent"
"acometer","Agent"
"acomodar","Agent"
"acompanhar","Agent"
"aconchegar","Agent"
"acondicionar","Agent"
"aconselhar","Agent"
"acontecer","Agent"
"acordar1","Agent"
"acoroçoar","Agent"
"acorrentar","Agent"
"acorrer","Agent"
"acostar","Agent"
"acoutar","Agent"
"acrescentar","Agent"
"acrisolar","Agent"
"açucarar","Agent"
"acudir","Agent"
"acumular","Agent"
"acurvar","Agent"
"acusar","Agent"
"adaptar","Agent"
"adejar","Agent"
"adelgaçar","Agent"
"adensar","Agent"
"adequar","Agent"
"adereçar-se1","Agent"
"adereçar1","Agent"
"adergar","Agent"
"aderir","Agent"
"adestrar","Agent"
"adiantar","Agent"
"adicionar","Agent"
"adivinhar","Agent"
"adjudicar","Agent"
"adjutorar","Agent"
"administrar","Agent"
"admitir","Agent"
"admoestar","Agent"
"adoçar","Agent"
"adocicar","Agent"
"adoecer","Agent"
"adoentar","Agent"
"adolescer","Agent"
"adornar","Agent"
"adotar","Agent"
"adquirir","Agent"
"adscrever","Agent"
"adstringir","Agent"
"adubar","Agent"
"adulterar","Agent"
"aduzir","Agent"
"advertir","Agent"
"advogar","Agent"
"afadigar","Agent"
"afagar","Agent"
"afastar","Agent"
"afeiçoar2","Agent"
"aferir","Agent"
"aferrar","Agent"
"aferrolhar","Agent"
"afiambrar","Agent"
"afiar","Agent"
"afilar2","Agent"
"afinar","Agent"
"afirmar","Agent"
"afixar","Agent"
"aflar","Agent"
"afligir","Agent"
"aflorar","Agent"
