"verbo","papel"
"abaixar","Experiencer"
"abalar","Experiencer"
"abanar","Experiencer"
"abater","Experiencer"
"abatocar","Experiencer"
"abemolar","Experiencer"
"abençoar","Experiencer"
"abespinhar","Experiencer"
"abocanhar","Experiencer"
"abocar","Experiencer"
"abominar","Experiencer"
"aborrecer","Experiencer"
"abrandar","Experiencer"
"abrasar","Experiencer"
"acalentar","Experiencer"
"acalmar","Experiencer"
"acalorar","Experiencer"
"acamar","Experiencer"
"acampanar","Experiencer"
"acanavear","Experiencer"
"acanhar","Experiencer"
"acariciar","Experiencer"
"acarinhar","Experiencer"
"acender","Experiencer"
"achar","Experiencer"
"achatar","Experiencer"
"acidentar","Experiencer"
"acirrar","Experiencer"
"aclarar","Experiencer"
"acordar1","Experiencer"
"acoroçoar","Experiencer"
"acovardar","Experiencer"
"acreditar","Experiencer"
"adoçar","Experiencer"
"adoecer","Experiencer"
"adoentar","Experiencer"
"adorar","Experiencer"
"adotar","Experiencer"
"afagar","Experiencer"
"afeiçoar1","Experiencer"
"aferar","Experiencer"
"aferrar","Experiencer"
"aferroar","Experiencer"
"afetar","Experiencer"
"afigurar","Experiencer"
"afligir","Experiencer"
"afobar","Experiencer"
"afoitar","Experiencer"
"afrouxar","Experiencer"
"agaloar","Experiencer"
"agarrar","Experiencer"
"agastar","Experiencer"
"agatanhar","Experiencer"
"agitar","Experiencer"
"agoniar","Experiencer"
"agonizar","Experiencer"
"agradar","Experiencer"
"aguçar","Experiencer"
"agüentar","Experiencer"
"aiar","Experiencer"
"ajoujar","Experiencer"
"alancear","Experiencer"
"alarmar","Experiencer"
"alborotar","Experiencer"
"alegrar","Experiencer"
"alentar","Experiencer"
"alertar","Experiencer"
"alevantar","Experiencer"
"aligeirar","Experiencer"
"aliviar","Experiencer"
"almejar","Experiencer"
"alterar","Experiencer"
"alucinar","Experiencer"
"alumbrar","Experiencer"
"alvoroçar","Experiencer"
"alvorotar","Experiencer"
"amaciar","Experiencer"
"amainar","Experiencer"
"amaldiçoar","Experiencer"
"amansar","Experiencer"
"amar","Experiencer"
"amarfanhar","Experiencer"
"amargar","Experiencer"
"amargurar","Experiencer"
"amassar","Experiencer"
"ambicionar","Experiencer"
"ameaçar","Experiencer"
"ameigar","Experiencer"
"amenizar","Experiencer"
"amimar","Experiencer"
"amolar","Experiencer"
"amolecer","Experiencer"
"amolestar","Experiencer"
"amortecer","Experiencer"
"amparar","Experiencer"
"amuar","Experiencer"
"analisar1","Experiencer"
"anelar1","Experiencer"
"angustiar","Experiencer"
"animar","Experiencer"
"aniquilar","Experiencer"
"anotar","Experiencer"
"ansiar","Experiencer"
"antolhar","Experiencer"
"apagar","Experiencer"
"apaixonar","Experiencer"
"apalpar","Experiencer"
"apertar","Experiencer"
"apetecer","Experiencer"
"apiedar","Experiencer"
"apimentar","Experiencer"
"aplacar","Experiencer"
"apontar","Experiencer"
"apoteosar","Experiencer"
"aprazer","Experiencer"
"apreciar","Experiencer"
"aprofundar","Experiencer"
"aprovar","Experiencer"
"apunhalar","Experiencer"
"apunhar","Experiencer"
"apurar","Experiencer"
"aquebrantar","Experiencer"
"aquecer","Experiencer"
"arder","Experiencer"
"argüir","Experiencer"
"arranhar","Experiencer"
"arrasar","Experiencer"
"arrebatar","Experiencer"
"arrecear","Experiencer"
"arrefecer","Experiencer"
"arrefentar","Experiencer"
"arrenegar","Experiencer"
"arrepiar","Experiencer"
"arrombar","Experiencer"
"arroubar","Experiencer"
"aspirar","Experiencer"
"assanhar","Experiencer"
"assediar","Experiencer"
"assentar","Experiencer"
"assetear","Experiencer"
"assistir","Experiencer"
"assustar","Experiencer"
"atassalhar","Experiencer"
"atender","Experiencer"
"atentar1","Experiencer"
"atenuar","Experiencer"
"ativar","Experiencer"
"atocaiar","Experiencer"
"atormentar","Experiencer"
"atrair","Experiencer"
"atrapalhar","Experiencer"
"atribular","Experiencer"
"atritar","Experiencer"
"atumultuar","Experiencer"
"aturar","Experiencer"
"augurar","Experiencer"
"autorizar","Experiencer"
"avergonhar","Experiencer"
"averiguar","Experiencer"
"avexar","Experiencer"
"aviltar","Experiencer"
"avistar","Experiencer"
"avivar","Experiencer"
"aviventar","Experiencer"
"azedar","Experiencer"
"azougar","Experiencer"
"bacorejar","Experiencer"
"badalar","Experiencer"
"bafejar","Experiencer"
"bajular","Experiencer"
"barafustar","Experiencer"
"beijar","Experiencer"
"bem-querer","Experiencer"
"bendizer","Experiencer"
"brandear","Experiencer"
"brincar","Experiencer"
"brutalizar","Experiencer"
"bulir","Experiencer"
"buscar","Experiencer"
"cacetear","Experiencer"
"calafriar","Experiencer"
"calcar","Experiencer"
"calmar","Experiencer"
"cansar","Experiencer"
"cantar","Experiencer"
"carecer","Experiencer"
"cariciar","Experiencer"
"carpir","Experiencer"
"catingar","Experiencer"
"cativar","Experiencer"
"causticar","Experiencer"
"ceder","Experiencer"
"cegar","Experiencer"
"censurar","Experiencer"
"chagar","Experiencer"
"chamar","Experiencer"
"chatear","Experiencer"
"cheirar","Experiencer"
"chispar","Experiencer"
"chocar1","Experiencer"
"chorar","Experiencer"
"cismar","Experiencer"
"cobiçar","Experiencer"
"coçar","Experiencer"
"cofiar","Experiencer"
"cogitar","Experiencer"
"colar","Experiencer"
"comentar","Experiencer"
"comichar","Experiencer"
"comover","Experiencer"
"comprazer","Experiencer"
"comprimir","Experiencer"
"compulsar","Experiencer"
"compungir","Experiencer"
"concentrar","Experiencer"
"conculcar","Experiencer"
"concutir","Experiencer"
"condenar","Experiencer"
"condoer","Experiencer"
"conflagrar","Experiencer"
"confortar","Experiencer"
"confundir","Experiencer"
"conhecer","Experiencer"
"conquistar","Experiencer"
"consagrar","Experiencer"
"considerar","Experiencer"
"consolar","Experiencer"
"constranger","Experiencer"
"consumir","Experiencer"
"contentar","Experiencer"
"contrariar","Experiencer"
"contristar","Experiencer"
"contundir","Experiencer"
"conturbar","Experiencer"
"convulsar","Experiencer"
"convulsionar","Experiencer"
"correr","Experiencer"
"corrupiar","Experiencer"
"crer","Experiencer"
"criticar","Experiencer"
"cruciar","Experiencer"
"crucificar","Experiencer"
"cultuar","Experiencer"
"curtir","Experiencer"
"dar","Experiencer"
"debuxar","Experiencer"
"decepcionar","Experiencer"
"declinar","Experiencer"
"defender","Experiencer"
"defraudar","Experiencer"
"degelar","Experiencer"
"degradar","Experiencer"
"deixar","Experiencer"
"deleitar","Experiencer"
"delibar","Experiencer"
"deliciar","Experiencer"
"demandar","Experiencer"
"deparar","Experiencer"
"deplorar","Experiencer"
"deprecar","Experiencer"
"deprimir","Experiencer"
"derrancar2","Experiencer"
"derreter","Experiencer"
"desacorçoar","Experiencer"
"desacordar","Experiencer"
"desacoroçoar","Experiencer"
